idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
138,Female infertility of unknown cause,"['Infertility', 'Unpredictable menstruation', 'Long menstrual periods', 'Scanty menstrual flow', 'Unwanted hair', 'Absence of menstruation', 'Bleeding or discharge from nipple', 'Loss of sex drive', 'Pain during intercourse', 'Irregular belly button']","Infertility is a term doctors use if a woman hasn\xe2\x80\x99t been able to get pregnant after at least one year of trying. If a woman keeps having miscarriages, it is also called infertility. Female infertility can result from physical problems, hormone problems, and lifestyle or environmental factors. Most cases of infertility in women result from problems with producing eggs. One problem is premature ovarian failure, in which the ovaries stop functioning before natural menopause. In another, polycystic ovary syndrome (PCOS), the ovaries may not release an egg regularly or may not release a healthy egg. About a third of the time, infertility is because of a problem with the woman. One third of the time, it is a problem with the man. Sometimes no cause can be found. If you suspect you are infertile, see your doctor. There are tests that may tell if you have fertility problems. When it is possible to find the cause, treatments may include medicines, surgery, or assisted reproductive technologies. Happily, two-thirds of couples treated for infertility are able to have babies. National Women\'s Health Information Center ","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Ultrasonography (Ultrasound)', 'Pelvis exam', 'Other non-OR therapeutic procedures; female organs', 'Examination of breast', 'Standard pregnancy test']","['Clomiphene (Clomid)', 'Human Chorionic Gonadotropin (Hcg)', 'Progesterone', 'Leuprolide (Lupron)', 'Estradiol', 'Cefoxitin', 'Urofollitropin (Bravelle)', 'Menotropins (Hmg)', 'Letrozole (Femara)', 'Alpha 1-Antitrypsin', 'Ganirelix']",disease
139,Pericarditis,"['Sharp chest pain', 'Shortness of breath', 'Difficulty breathing', 'Chest tightness', 'Sharp abdominal pain', 'Nausea', 'Irregular heartbeat', 'Fainting', 'Palpitations', 'Lower body pain', 'Hurts to breath', 'Lymphedema']",Pericarditis is an inflammation of the pericardium (the fibrous sac surrounding the heart). A characteristic chest pain is often present. ,"['Radiographic imaging procedure', 'Electrocardiogram', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Plain x-ray (X ray)', 'Cardiac enzymes measurement (Cardiac enzymes test)', 'Kidney function tests (Kidney function test)']","['Nitroglycerin', 'Indomethacin', 'Colchicine', 'Temazepam', 'Terazosin', 'Bosentan (Tracleer)', 'Entecavir (Baraclude)', 'Pindolol', 'Misoprostol', 'Dexlansoprazole (Dexilant)', 'Calcitonin', 'Lactobacillus Acidophilus (Dofus)']",symptom
140,Attention deficit hyperactivity disorder (ADHD),"['Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Hostile behavior', 'Excessive anger', 'Restlessness', 'Temper problems', 'Drug abuse', 'Obsessions and compulsions', 'Low self-esteem', 'Lack of growth', 'Antisocial behavior']","Attention deficit hyperactivity disorder (ADHD, similar to hyperkinetic disorder in the ICD) is a psychiatric disorder or neurobehavioral disorder characterized by significant difficulties either of inattention or hyperactivity and impulsiveness or a combination of the two. According to the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV-TR), symptoms emerge before seven years of age. There are three subtypes of the disorder which consist of it being predominantly inattentive (ADHD-PI or ADHD-I), predominantly hyperactive-impulsive (ADHD-HI or ADHD-H), or the two combined (ADHD-C). Often people refer to ADHD-PI as ""attention deficit disorder"" (ADD), however, the latter has not been officially accepted since the 1994 revision of the DSM. ADHD impacts school-aged children and results in restlessness, acting impulsively, and lack of focus which may impair school performance. ","['Psychotherapy', 'Mental health counseling', 'Depression screen (Depression screening)', 'Psychological and psychiatric evaluation and therapy', 'Occupational therapy assessment (Speech therapy)', 'Electroencephalogram (EEG) (Eeg)', 'Cerebral arteriogram (Angiography cerebral)']","['Methylphenidate', 'Adderall', 'Clonidine', 'Atomoxetine (Strattera)', 'Dexmethylphenidate (Focalin)', 'Risperidone', 'Lisdexamfetamine (Vyvanse)', 'Aripiprazole (Abilify)', 'Guanfacine (Intuniv)', 'Oxcarbazepine (Trileptal)', 'Melatonin', 'Dextroamphetamine (Adderall)']",disease
141,Neuromyelitis optica,"['Painful urination', 'Ache all over', 'Arm pain', 'Loss of sensation', 'Weakness', 'Diminished vision', 'Vulvar sore', 'Excessive growth', 'Knee lump or mass', 'Nailbiting', 'Shoulder swelling', 'Neck cramps or spasms']","Neuromyelitis optica (NMO), also known as Devic\'s disease or Devic\'s syndrome, is an autoimmune, inflammatory disorder in which a person\'s own immune system attacks the optic nerves and spinal cord. This produces an inflammation of the optic nerve (optic neuritis) and the spinal cord (myelitis). Although inflammation may also affect the brain, the lesions are different from those observed in the related condition, multiple sclerosis. Spinal cord lesions lead to varying degrees of weakness or paralysis in the legs or arms, loss of sensation (including blindness), and/or bladder and bowel dysfunction. ","['Hematologic tests (Blood test)', 'Magnetic resonance imaging (Mri)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Urinalysis', 'Radiographic imaging procedure', 'Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)']","['Azathioprine', 'Baclofen', 'Carbamazepine', 'Polyethylene Glycol 3350 (Miralax)', 'Pregabalin (Lyrica)', 'Nitrofurantoin', 'Paroxetine (Paxil)', 'Docusate (Colace)', 'Oxycodone', 'Gabapentin', 'Ciprofloxacin']",disease
142,Pulmonic valve disease,"['Lack of growth', 'Leg pain', 'Shortness of breath', 'Low back pain', 'Elbow weakness', 'Elbow cramps or spasms', 'Excessive growth', 'Feeling hot and cold', 'Wrist weakness', 'Low back weakness', 'Emotional symptoms', 'Nailbiting']"," chickenpox vaccine (shingles vaccine), ","['Electrocardiogram', 'Radiographic imaging procedure', 'Echocardiography', 'Ultrasonography (Ultrasound)', 'Heart valve procedures', 'Physical therapy exercises (Exercises)', 'Corneal transplant']","['Ofloxacin', 'Chickenpox Vaccine (Shingles Vaccine)', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)', 'Gadoteridol (Prohance)', ""Devil\\'S Claw Preparation"", 'Isocarboxazid (Marplan)', 'Medrysone Ophthalmic']",medication
143,Tietze syndrome,"['Sharp chest pain', 'Rib pain', 'Shortness of breath', 'Cough', 'Back pain', 'Chest tightness', 'Side pain', 'Nausea', 'Hurts to breath', 'Difficulty breathing', 'Pain or soreness of breast', 'Loss of sensation']",Tietze syndrome is a benign inflammation of one or more of the costal cartilages. It was first described in 1921 by the German surgeon Alexander Tietze (1864\xe2\x80\x931927). ,"['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Electrocardiogram', 'Complete blood count (Cbc)', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)']","['Methyl Salicylate-Menthol Topical', 'Bivalirudin', 'Fluoride Topical', 'Triprolidine (Actifed)', 'Arnica Topical', 'Trolamine Salicylate Topical']",disease
144,Cranial nerve palsy,"['Double vision', 'Headache', 'Diminished vision', 'Abnormal involuntary movements', 'Symptoms of the face', 'Loss of sensation', 'Abnormal movement of eyelid', 'Pupils unequal', 'Pain in eye', 'Facial pain', 'Difficulty speaking', 'Cramps and spasms']","Disorders of one or more of the twelve cranial nerves. With the exception of the optic and olfactory nerves, this includes disorders of the brain stem nuclei from which the cranial nerves originate or terminate. ","['Magnetic resonance imaging (Mri)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Ophthalmic examination and evaluation (Eye exam)', 'Ophthalmologic and otologic diagnosis and treatment', 'Other therapeutic procedures', 'CAT scan of head (Head ct)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea']","['Botulinum Toxin Type A (Botox)', 'Botulism Antitoxin', 'Cyclopentolate Ophthalmic', 'Olopatadine Ophthalmic', 'Pergolide', 'Mumps Vaccine', 'Rimabotulinumtoxinb (Myobloc)', 'Erythromycin Topical Product', 'Measles Vaccine', 'Rubella Virus Vaccine']",disease
145,Injury to the arm,"['Wrist pain', 'Elbow pain', 'Arm pain', 'Hand or finger pain', 'Loss of sensation', 'Wrist swelling', 'Hand or finger swelling', 'Joint pain', 'Elbow swelling', 'Arm swelling', 'Arm stiffness or tightness', 'Bones are painful']","Of the 206 bones in your body, 3 of them are in your arm; the humerus, radius and ulna. Your arms are also made up of muscles, joints, tendons and other connective tissue. Injuries to any of these parts of the arm can occur during sports, a fall or an accident. Types of arm injuries include Tendinitis and bursitis Sprains Dislocations Broken bones  Some nerve problems, arthritis, or cancers can affect the entire arm and cause pain, spasms, swelling and trouble moving. You may also have problems or injure specific parts of your arm, such as your hand, wrist, elbow or shoulder. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Magnetic resonance imaging (Mri)', 'Physical therapy exercises (Exercises)', 'Orthopedic casting', 'Traction; splints; and other wound care']","['Piroxicam', 'Trimethadione', 'Benzalkonium Chloride Topical', 'Cladribine', 'Bromfenac (Bromday)', 'Turmeric Extract', 'Estazolam', 'Mefloquine', 'Tolnaftate Topical', 'Teriparatide (Forteo)']",symptom
146,Conversion disorder,"['Seizures', 'Depression', 'Sweating', 'Allergic reaction', 'Weakness', 'Sore throat', 'Anxiety and nervousness', 'Abnormal involuntary movements', 'Fatigue', 'Cough', 'Focal weakness', 'Fainting']","A conversion disorder causes patients to suffer from neurological symptoms, such as numbness, blindness, paralysis, or fits without a definable organic cause. It is thought that symptoms arise in response to stressful situations affecting a patient\'s mental health and Conversion disorder is considered a psychiatric disorder in the Diagnostic and Statistical Manual of Mental Disorders fifth edition (DSM-V). ","['Complete blood count (Cbc)', 'Psychotherapy', 'Intravenous fluid replacement', 'X-ray computed tomography (Scan ct)', 'Mental health counseling', 'Depression screen (Depression screening)', 'Magnetic resonance imaging (Mri)']","['Venlafaxine (Effexor)', 'Mirtazapine', 'Levetiracetam (Keppra)', 'Omega-3 Fatty Acids', 'Estropipate (Ogen)', 'Sulindac', 'Zaleplon (Sonata)', 'Fluvoxamine (Luvox)', 'Sulfasalazine', 'Naloxone (Suboxone)']",symptom
147,Complex regional pain syndrome,"['Loss of sensation', 'Leg pain', 'Foot or toe pain', 'Paresthesia', 'Back pain', 'Ache all over', 'Arm pain', 'Hand or finger pain', 'Low back pain', 'Neck pain', 'Abnormal involuntary movements', 'Problems with movement']","Complex Regional Pain Syndrome (CRPS), formerly Reflex Sympathetic Dystrophy (RSD) or Causalgia, is a chronic systemic disease characterized by severe pain, swelling, and changes in the skin. CRPS is expected to worsen over time. It often initially affects an arm or a leg and often spreads throughout the body; 92% of patients state that they have experienced a spread and 35% of patients report symptoms in their whole body. Recent evidence has led to the conclusion that Complex Regional Pain Syndrome is a multifactorial disorder with clinical features of neurogenic inflammation, nociceptive sensitisation (which causes extreme sensitivity or allodynia), vasomotor dysfunction, and maladaptive neuroplasticity, generated by an aberrant response to tissue injury. Treatment is complicated, involving drugs, physical therapy, psychologic treatments and neuromodulation and usually unsatisfactory, especially if begun late. ","['Magnetic resonance imaging (Mri)', 'Physical therapy exercises (Exercises)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Lipid panel', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Examination of foot', 'Other therapeutic procedures']","['Gabapentin', 'Pregabalin (Lyrica)', 'Amitriptyline', 'Methadone', 'Baclofen', 'Lidocaine-Prilocaine Topical', 'Buprenorphine (Suboxone)', 'Milnacipran (Savella)', 'Midodrine', 'Flunisolide Nasal', 'Tenofovir', 'Combivir']",disease
148,Otosclerosis,"['Diminished hearing', 'Dizziness', 'Plugged feeling in ear', 'Ear pain', 'Elbow weakness', 'Nailbiting', 'Low back weakness', 'Emotional symptoms', 'Elbow cramps or spasms', 'Underweight', 'Wrist weakness', 'Muscle swelling']",Otosclerosis is an abnormal growth of bone near the middle ear. It can result in hearing loss. ,"['Ophthalmologic and otologic diagnosis and treatment', 'Ophthalmic examination and evaluation (Eye exam)', 'Excision (Removal)', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent']","['Droperidol', 'Clozapine', 'Calcium Citrate', 'Ibandronate (Boniva)', 'Niacin', 'Ezetimibe (Zetia)', 'Phenytoin (Dilantin)', 'Calcium Carbonate', 'Meclizine', 'Celecoxib (Celebrex)']",disease
149,Injury to the trunk,"['Back pain', 'Rib pain', 'Sharp chest pain', 'Low back pain', 'Neck pain', 'Shoulder pain', 'Headache', 'Lower body pain', 'Bones are painful', 'Wrist pain', 'Symptoms of the scrotum and testes', 'Sinus congestion']"," hydrocodone / ibuprofen, ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'X-ray computed tomography (Scan ct)', 'Urinalysis', 'Intravenous fluid replacement', 'Wound care management', 'CAT scan of head (Head ct)']","['Metaxalone (Skelaxin)', 'Podofilox Topical', 'Flurazepam', 'Orlistat (Alli)', 'Collagen', 'Ioversol', 'Iopamidol (Isovue)', 'Diphtheria Toxoid Vaccine (Prohibit)']",medication
150,Hypothyroidism,"['Fatigue', 'Weight gain', 'Too little hair', 'Muscle pain', 'Hot flashes', 'Leg cramps or spasms', 'Absence of menstruation', 'Poor circulation', 'Wrist swelling', 'Feeling cold', 'Thirst']",Hypothyroidism /\xcb\x8cha\xc9\xaap\xc9\xb5\xcb\x88\xce\xb8a\xc9\xaa\xc9\x99r\xc9\x94\xc9\xaad\xc9\xaaz\xc9\x99m/ is a state in which the thyroid gland does not make enough thyroid hormone. ,"['Hematologic tests (Blood test)', 'Lipid panel', 'Glucose measurement (Glucose level)', 'Complete physical skin exam performed (ML)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Examination of breast', 'Other diagnostic procedures (interview; evaluation; consultation)']","['Thyroxine (Synthroid)', 'Thyroid (Usp) (Armour Thyroid)', 'Triiodothyronine (Cytomel)', 'Dofetilide (Tikosyn)', 'Pramlintide (Symlin)', 'Decitabine', 'Bifidobacterium Infantis (Align)', 'Interferon Alfacon-1 (Infergen)', 'Pentostatin', 'Azacitidine (Vidaza)', 'Sodium Hyaluronate Ophthalmic']",disease
151,Primary insomnia,"['Insomnia', 'Abnormal breathing sounds', 'Fatigue', 'Apnea', 'Sleepiness', 'Headache', 'Anxiety and nervousness', 'Sleepwalking', 'Seizures', 'Neck pain', 'Abnormal involuntary movements', 'Delusions or hallucinations']","Insomnia, or sleeplessness, is a sleep disorder in which there is an inability to fall asleep or to stay asleep as long as desired. While the term is sometimes used to describe a disorder demonstrated by polysomnographic evidence of disturbed sleep, insomnia is often practically defined as a positive response to either of two questions: ""Do you experience difficulty sleeping?"" or ""Do you have difficulty falling or staying asleep?"" ","['Other diagnostic procedures (interview; evaluation; consultation)', 'Psychotherapy', 'Mental health counseling', 'Depression screen (Depression screening)', 'Electroencephalogram (EEG) (Eeg)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Blood alcohol']","['Zolpidem (Ambien)', 'Clonazepam', 'Melatonin', 'Memantine (Namenda)', 'Zinc Sulfate', 'Modafinil (Provigil)', 'Pramipexole (Mirapex)', 'Atomoxetine (Strattera)', 'Eszopiclone (Lunesta)', 'Eprosartan (Teveten)', 'Dihydroergotamine', 'Coal Tar Topical']",disease
152,Lice,"['Itchy scalp', 'Skin rash', 'Cough', 'Itching of skin', 'Smoking problems', 'Skin lesion', 'Fever', 'Nasal congestion', 'Warts', 'Skin oiliness', 'Leg lump or mass', 'Sneezing']","Louse (plural: lice) is the common name for members of over 3,000 species of wingless insects of the order Phthiraptera; three of which are classified as human disease agents. They are obligate ectoparasites of every avian and mammalian order except for monotremes (the platypus and echidnas), bats, whales, dolphins, porpoises and pangolins. ","['Complete physical skin exam performed (ML)', 'Culture wound', 'Excision of skin lesion', 'Incision and drainage (I d)']","['Permethrin Topical', 'Lindane Topical', 'Piperonyl Butoxide-Pyrethrins Topical', 'Triamcinolone', 'Malathion Topical', 'Nicotine', 'Piperonyl Butoxide Topical', 'Benzyl Alcohol Topical', 'Alclometasone Topical', 'Purified Protein Derivative Of Tuberculin (Tubersol)', 'Cefixime (Suprax)']",disease
153,Vitamin B12 deficiency,"['Fatigue', 'Paresthesia', 'Disturbance of memory', 'Problems with movement', 'Sweating', 'Symptoms of the face', 'Heartburn', 'Hot flashes', 'Leg cramps or spasms', 'Abnormal appearing tongue', 'Too little hair', 'Knee stiffness or tightness']","Vitamin B12 deficiency or hypocobalaminemia is a low blood level of vitamin B12. It can cause permanent damage to nervous tissue if left untreated longer than 6 months. Vitamin B12 itself was discovered through investigation of pernicious anemia, which is an autoimmune disease that destroys parietal cells in the stomach that secrete intrinsic factor. Pernicious anemia, if left untreated, is usually fatal within three years. Once identified, however, the condition can be treated successfully and with relative ease, although it cannot be cured and ongoing treatment is required. Humans obtain almost all of their vitamin B12 from dietary means. Pernicious anemia is usually the result of insufficient secretion of intrinsic factor within the stomach. Other more subtle types of vitamin B12 deficiency have been elucidated, including the biochemical effects, over the course of time in significant numbers. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Lipid panel', 'Other therapeutic procedures', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Examination of breast', 'Magnetic resonance imaging (Mri)']","['Vitamin B 12', 'Donepezil (Aricept)', 'Epoetin Alfa (Procrit)', 'Cholecalciferol', 'Darbepoetin Alfa (Aranesp)', 'Entacapone (Comtan)', 'Pyridostigmine (Mestinon)', 'Flecainide', 'Primidone', 'Azathioprine']",disease
154,Diabetes,"['Weight gain', 'Thirst', 'Symptoms of the kidneys']","Diabetes mellitus, or simply diabetes, is a group of metabolic diseases in which a person has high blood sugar, either because the pancreas does not produce enough insulin, or because cells do not respond to the insulin that is produced. This high blood sugar produces the classical symptoms of polyuria (frequent urination), polydipsia (increased thirst) and polyphagia (increased hunger). ","['Hematologic tests (Blood test)', 'Glucose measurement (Glucose level)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Lipid panel', 'Complete physical skin exam performed (ML)', 'Wound care management', 'Examination of foot']","['Metformin', 'Insulin', 'Insulin Glargine (Lantus)', 'Glipizide', 'Insulin, Aspart, Human (Novolog)', 'Pioglitazone (Actos)', 'Glyburide', 'Glimepiride', 'Rosiglitazone (Avandia)', 'Quinapril', 'Sitagliptin (Januvia)']",symptom
155,Vulvodynia,"['Pelvic pain', 'Sharp abdominal pain', 'Lower abdominal pain', 'Pain during pregnancy', 'Nausea', 'Back pain', 'Vaginal pain', 'Side pain', 'Vaginal discharge', 'Burning abdominal pain', 'Painful urination', 'Cramps and spasms']","Vulvodynia is a chronic pain syndrome that affects the vulvar area and often occurs without an identifiable cause or visible pathology categorized in the ICD-9 group 625\xe2\x80\x94specifically ICD-9 625.7, which is for pain and other disorders of the female genital organs. It refers to pain of the vulva unexplained by vulvar or vaginal infection or skin disease. ","['Urinalysis', 'Hematologic tests (Blood test)', 'Radiographic imaging procedure', 'Complete blood count (Cbc)', 'Pelvis exam', 'Standard pregnancy test', 'Kidney function tests (Kidney function test)']","['Norethindrone (Loestrin Fe)', 'Sevoflurane', 'Methylergonovine (Methergine)', 'Rocuronium', 'Mefenamic Acid', 'Mebendazole', 'Ceftriaxone-Lidocaine', 'Methylene Blue', 'Tromethamine', 'Diphtheria Antitoxin', 'Tinidazole', 'Liraglutide (Victoza)']",disease
156,Endometriosis,"['Pelvic pain', 'Sharp abdominal pain', 'Lower abdominal pain', 'Painful menstruation', 'Heavy menstrual flow', 'Burning abdominal pain', 'Infertility', 'Intermenstrual bleeding', 'Hot flashes', 'Absence of menstruation', 'Vaginal pain', 'Chills']","Endometriosis is a gynecological medical condition in which cells from the lining of the uterus (endometrium) appear and flourish outside the uterine cavity, most commonly on the membrane which lines the abdominal cavity. The uterine cavity is lined with endometrial cells, which are under the influence of female hormones. Endometrial-like cells in areas outside the uterus (endometriosis) are influenced by hormonal changes and respond in a way that is similar to the cells found inside the uterus. Symptoms often worsen with the menstrual cycle. ","['Pelvis exam', 'Urinalysis', 'Ultrasonography (Ultrasound)', 'Standard pregnancy test', 'Examination of breast', 'Excision (Removal)', 'Rectal examination']","['Leuprolide (Lupron)', 'Medroxyprogesterone', 'Portia', 'Clomiphene (Clomid)', 'Norethindrone (Loestrin Fe)', 'Progesterone', 'Human Chorionic Gonadotropin (Hcg)', 'Modicon', 'Rocuronium', 'Sevoflurane']",disease
157,Vasculitis,"['Skin rash', 'Skin lesion', 'Headache', 'Leg pain', 'Dizziness', 'Lymphedema', 'Foot or toe swelling', 'Plugged feeling in ear', 'Skin irritation', 'Swollen tongue', 'Leg lump or mass', 'Leg stiffness or tightness']",Vasculitis (plural: vasculitides) is a group of disorders that destroy blood vessels by inflammation. Both arteries and veins are affected. Lymphangitis is sometimes considered a type of vasculitis. Vasculitis is primarily due to leukocyte migration and resultant damage. ,"['Complete physical skin exam performed (ML)', 'Wound care management', 'Ultrasonography (Ultrasound)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Lipid panel', 'Echocardiography', 'Hemoglobin A1c measurement (Hemoglobin a1c test)']","['Methotrexate', 'Mycophenolate Mofetil (Cellcept)', 'Cyclophosphamide', 'Collagenase Topical', 'Raloxifene (Evista)', 'Hydroxychloroquine (Plaquenil)', 'Chloral Hydrate', 'Cyclosporine', 'Regadenoson (Lexiscan)', 'Cholestyramine Resin (Questran)', 'Salmeterol', 'Lidocaine-Prilocaine Topical']",disease
158,Concussion,"['Headache', 'Dizziness', 'Neck pain', 'Vomiting', 'Disturbance of memory', 'Nausea', 'Back pain', 'Facial pain', 'Sleepiness', 'Rib pain', 'Double vision', 'Difficulty speaking']","Concussion, from the Latin concutere (""to shake violently"") or concussus (""action of striking together""), is the most common type of traumatic brain injury. The terms mild brain injury, mild traumatic brain injury (MTBI), mild head injury (MHI), minor head trauma, and concussion may be used interchangeably, although the last is often treated as a narrower category. Although the term ""concussion"" is still used in sports literature as interchangeable with ""MHI"" or ""MTBI"", the general clinical medical literature now uses ""MTBI"" instead. In this article, ""concussion"" and ""MTBI"" are used interchangeably. Frequently defined as a head injury with a temporary loss of brain function, concussion causes a variety of physical, cognitive, and emotional symptoms, which may not be recognized if subtle. ","['Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'CAT scan of head (Head ct)', 'Plain x-ray (X ray)', 'Intravenous fluid replacement', 'Suturing of wound', 'Cardiac monitoring (Cardiac monitor)']","['Modafinil (Provigil)', 'Diphtheria Toxoid Vaccine (Prohibit)', 'Cefmetazole', 'Gadopentetate Dimeglumine (Magnevist)', 'Atracurium', 'Beractant (Survanta)', 'Etomidate', 'Factor Ix Complex (Obsolete)', 'Pancuronium', 'Pimozide (Orap)', 'Trifluoperazine (Stelazine)']",disease
159,Oral leukoplakia,"['Tongue lesions', 'Fever', 'Hemoptysis', 'Skin swelling', 'Gum pain', 'Mouth pain', 'Elbow cramps or spasms', 'Elbow weakness', 'Excessive growth', 'Underweight', 'Low back weakness', 'Wrist weakness']","Leukoplakia (also termed leucoplakia, leukokeratosis, leukoplasia, idiopathic leukoplakia, idiopathic keratosis, or idiopathic white patch), is a condition where areas of keratosis appear as adherent white patches on the mucous membranes of the oral cavity. Leukoplakia may affect other gastrointestinal tract mucosal sites, or mucosal surfaces of the urinary tract and genitals. When leukoplakia occurs in the mouth, it is sometimes termed oral leukoplakia, which is defined as ""a predominantly white lesion of the oral mucosa that cannot be characterized as any other definable lesion"". Leukoplakia literally means ""white patch"" and is a descriptive clinical term that is only correctly used once all other possible causes have been ruled out (a diagnosis of exclusion). As such, leukoplakia is not a specific disease entity, and the clinical and histologic appearance are variable, i.e. the term has no specific histologic implications. Leukoplakia may be confused with other common causes of white patches in the mouth, such as oral candidiasis or lichen planus. The lesions of leukoplakia cannot be rubbed off, as would be the case in pseudomembraneous candidiasis (oral thrush). ","['Biopsy', 'Other OR therapeutic procedures on nose; mouth and pharynx', 'Prostate specific antigen measurement (Prostate specific antigen test)', 'Excision (Removal)', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy']","['Vitamin A', 'Hydrogen Peroxide Topical', 'Acyclovir', 'Epinephrine', 'Paroxetine (Paxil)', 'Clindamycin', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']",symptom
160,Chronic kidney disease,"['Fatigue', 'Shortness of breath', 'Symptoms of the kidneys', 'Peripheral edema', 'Feeling cold', 'Unusual color or odor to urine']","Chronic kidney disease (CKD), also known as chronic renal disease, is a progressive loss in renal function over a period of months or years. The symptoms of worsening kidney function are non-specific, and might include feeling generally unwell and experiencing a reduced appetite. Often, chronic kidney disease is diagnosed as a result of screening of people known to be at risk of kidney problems, such as those with high blood pressure or diabetes and those with a blood relative with chronic kidney disease. Chronic kidney disease may also be identified when it leads to one of its recognized complications, such as cardiovascular disease, anemia or pericarditis. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Urinalysis', 'Electrolytes panel', 'Lipid panel', 'Hemoglobin A1c measurement (Hemoglobin a1c test)']","['Darbepoetin Alfa (Aranesp)', 'Epoetin Alfa (Procrit)', 'Allopurinol', 'Nifedipine', 'Hydralazine', 'Calcitriol', 'Labetalol', 'Mycophenolate Mofetil (Cellcept)', 'Tacrolimus (Prograf)', 'Sodium Bicarbonate', 'Sodium Polystyrene Sulfonate (Kayexalate)', 'Colchicine']",symptom
161,Bladder disorder,"['Symptoms of bladder', 'Blood in urine', 'Frequent urination', 'Sharp abdominal pain', 'Retention of urine', 'Involuntary urination', 'Suprapubic pain', 'Painful urination', 'Bladder mass', 'Coryza', 'Pelvic pain', 'Lower abdominal pain']",Urinary bladder disease can be congenital or acquired. ,"['Urinalysis', 'Endoscopy and endoscopic biopsy of the urinary tract', 'Pelvis exam', 'Ultrasonography (Ultrasound)', 'Rectal examination', 'Prostate specific antigen measurement (Prostate specific antigen test)', 'Other diagnostic procedures (interview; evaluation; consultation)']","['Tamsulosin (Flomax)', 'Solifenacin (Vesicare)', 'Oxybutynin', 'Phenazopyridine (Azo)', 'Tolterodine (Detrol)', 'Finasteride (Propecia)', 'Alfuzosin (Uroxatral)', 'Dutasteride (Avodart)', 'Darifenacin (Enablex)', 'Flavoxate (Urispas)']",disease
162,Chorioretinitis,"['Diminished vision', 'Spots or clouds in vision', 'Eye burns or stings', 'Pain in eye', 'Itchiness of eye', 'Double vision', 'Foreign body sensation in eye', 'Muscle swelling', 'Elbow cramps or spasms', 'Pus in urine', 'Low back weakness', 'Knee cramps or spasms']","Chorioretinitis is an inflammation of the choroid (thin pigmented vascular coat of the eye) and retina of the eye. It is a form of posterior uveitis. If only the choroid is inflamed and not the retina, the condition is termed choroiditis. The ophthalmologist\'s goal in treating these potentially blinding conditions is to eliminate the inflammation and minimize the potential risk of therapy to the patient. ","['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmologic and otologic diagnosis and treatment', 'Destruction of lesion of retina and choroid', 'Other therapeutic procedures', 'Corneal transplant', 'Procedures on spleen (Spleen operation)']","['Prednisolone Ophthalmic', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Suprofen Ophthalmic', 'Timolol', 'Atropine (Uaa)', 'Methotrexate', 'Tranylcypromine (Parnate)', 'Fluorescein', 'Vitamin A', 'Zidovudine', 'Dextroamphetamine (Adderall)']",disease
